sonic,Z
!tnw01.2m,2.04
!tnw01.10m,9.94
!tnw01.20m,20.01
!tnw02.2m,2.03
!tnw02.10m,9.92
!tnw02.20m,19.99
!tnw03.2m,2.26
!tnw03.10m,10.24
!tnw04.2m,2.11
!tnw04.4m,4.28
!tnw04.6m,5.95
!tnw04.8m,8.1
!tnw04.10m,10.25
!tnw04.12m,12.52
!tnw04.20m,20.31
!tnw05.2m,2.13
!tnw05.4m,4.07
!tnw05.6m,6.24
!tnw05.8m,8.33
!tnw05.10m,10.2
!tnw05.12m,12.24
!tnw05.20m,19.53
!tnw06.2m,2.36
!tnw06.4m,4.17
!tnw06.6m,6.3
!tnw06.8m,8.33
!tnw06.10m,10.4
!tnw06.12m,12.29
!tnw06.20m,20.35
!tnw07.4m,4.0
!tnw07.6m,5.84
!tnw07.8m,7.85
!tnw07.10m,10.14
!tnw07.12m,11.99
!tnw07.20m,20.01
!tnw07.30m,29.85
!tnw07.40m,40.08
!tnw07.60m,56.85
!tnw08.2m,2.54
!tnw08.10m,10.69
!tnw08.20m,20.38
!tnw09.2m,1.66
!tnw09.10m,9.4
!tnw10.10m,9.86
!tnw10.20m,19.51
!tnw10.30m,29.61
!tnw10.40m,39.87
!tnw10.60m,56.66
!tnw11.2m,2.5
!tnw11.10m,10.63
!tnw11.20m,20.96
!tnw12.2m,2.13
!tnw12.4m,4.16
!tnw12.6m,6.15
!tnw12.8m,8.24
!tnw12.10m,9.74
!tnw12.12m,11.85
!tnw12.20m,19.63
!tnw12.30m,27.3
!tnw13.2m,1.18
!tnw13.4m,3.09
!tnw13.6m,5.11
!tnw13.8m,7.16
!tnw13.10m,9.24
!tnw13.12m,11.17
!tnw13.20m,19.07
!tnw13.30m,26.9
!tnw14.2m,2.81
!tnw14.4m,3.87
!tnw14.6m,5.86
!tnw14.8m,7.91
!tnw14.10m,9.66
!tnw14.12m,11.61
!tnw14.20m,19.37
!tnw14.30m,27.13
!tnw15.2m,2.17
!tnw15.4m,4.18
!tnw15.6m,6.16
!tnw15.8m,8.22
!tnw15.10m,9.88
!tnw15.12m,11.84
!tnw15.20m,19.47
!tnw15.30m,27.17
!tnw16.2m,1.65
!tnw16.4m,3.68
!tnw16.6m,5.69
!tnw16.8m,7.73
!tnw16.10m,9.49
!tnw16.12m,11.43
!tnw16.20m,19.19
!tnw16.30m,26.99
!tse01.10m,9.91
!tse01.30m,28.79
!tse02.10m,8.62
!tse02.30m,27.71
!tse04.10m,10.3
!tse04.20m,19.93
!tse04.30m,27.81
!tse04.40m,37.05
!tse04.60m,57.16
!tse04.80m,77.29
!tse04.100m,97.29
!tse05.2m,1.54
!tse06.10m,15.47
!tse06.20m,21.45
!tse06.30m,29.58
!tse06.40m,39.4
!tse06.60m,57.37
!tse07.10m,10.21
!tse07.20m,19.31
!tse08.10m,9.85
!tse08.20m,19.84
!tse09.10m,10.38
!tse09.20m,20.51
!tse09.30m,30.14
!tse09.40m,40.6
!tse09.60m,60.15
!tse09.80m,80.28
!tse09.100m,97.47
!tse10.10m,10.36
!tse10.30m,29.27
!tse11.10m,12.53
!tse11.20m,19.96
!tse11.30m,29.84
!tse11.40m,39.83
!tse11.60m,56.81
!tse12.10m,9.79
!tse12.20m,19.71
!tse13.10m,10.02
!tse13.20m,20.02
!tse13.30m,30.12
!tse13.40m,40.03
!tse13.60m,60.15
!tse13.80m,79.97
!tse13.100m,97.04
!rsw01.10m,9.38
!rsw01.20m,19.91
!rsw02.10m,10.14
!rsw02.20m,20.06
!rsw03.10m,9.97
!rsw03.20m,19.79
!rsw03.30m,29.58
!rsw03.40m,40.13
!rsw03.60m,56.76
!rsw04.10m,9.92
!rsw05.10m,9.98
!rsw06.10m,10.3
!rsw06.20m,20.36
!rsw06.30m,30.21
!rsw06.40m,40.19
!rsw06.60m,57.15
!rsw07.10m,10.48
!rsw07.20m,20.37
!rsw08.10m,10.28
!rsw08.20m,20.31
!rne01.10m,10.02
!rne02.10m,10.41
!rne02.20m,20.21
!rne03.10m,9.56
!rne04.10m,10.2
!rne06.10m,9.87
!rne06.20m,19.72
!rne07.10m,10.61
!rne07.20m,20.03
!v01.2m,1.89
!v01.10m,9.92
!v03.2m ,1.92
!v03.10m,9.9
!v04.2m,2.09
!v04.10m,10.01
!v05.2m,2.27
!v05.10m,10.01
!v05.20m,20.02
!v06.2m,2.12
!v06.10m,10.0
!v06.20m,20.02
!v07.2m,2.08
!v07.4m,4.18
!v07.6m,5.92
!v07.8m,7.97
!v07.10m,9.92
!v07.12m,11.88
!v07.20m,20.01
!Extreme_SW,10.0
!Extreme_NE,9.4
